21.97;502.00
32.23;502.00
41.50;503.00
16.60;504.00
41.50;504.00
30.76;504.00
29.79;503.00
40.53;502.00
22.46;501.00
40.53;501.00
17.58;501.00
16.11;501.00
41.50;502.00
16.60;503.00
26.86;504.00
16.60;504.00
17.09;503.00
22.95;502.00
25.39;501.00
41.50;501.00
30.76;500.00
41.50;501.00
16.60;502.00
26.37;503.00
39.55;504.00
16.60;503.00
41.50;502.00
16.11;501.00
17.58;501.00
40.53;500.00
16.60;500.00
41.02;500.00
29.30;501.00
16.11;502.00
41.02;503.00
18.07;503.00
16.11;503.00
19.53;502.00
16.11;501.00
17.58;501.00
15.63;501.00
38.09;501.00
24.90;502.00
22.95;503.00
27.83;504.00
24.90;504.00
21.00;503.00
29.79;502.00
40.04;502.00
29.30;501.00
17.09;501.00
41.02;501.00
25.39;502.00
41.02;503.00
18.07;504.00
19.04;504.00
40.53;504.00
40.53;503.00
24.41;502.00
15.63;501.00
37.11;501.00
19.53;501.00
33.69;502.00
40.53;503.00
16.11;504.00
16.11;504.00
40.53;504.00
16.11;503.00
40.53;502.00
21.48;501.00
22.46;501.00
25.39;501.00
15.63;501.00
16.11;502.00
40.04;504.00
17.58;504.00
24.41;504.00
15.63;503.00
20.51;502.00
40.04;501.00
15.63;501.00
19.53;500.00
34.18;501.00
40.04;502.00
21.97;503.00
22.46;504.00
30.76;504.00
40.53;504.00
15.63;503.00
38.57;502.00
16.11;501.00
40.53;501.00
40.04;502.00
15.63;502.00
37.11;503.00
35.16;504.00
16.11;505.00
40.53;504.00
17.58;504.00
26.37;503.00
39.06;502.00
28.32;501.00
40.53;501.00
16.60;501.00
21.48;503.00
39.06;512.00
17.58;596.00
16.11;725.00
23.93;757.00
38.57;770.00
18.55;794.00
16.60;820.00
28.81;823.00
25.39;790.00
17.58;791.00
41.50;817.00
29.30;812.00
22.46;858.00
42.48;841.00
36.13;852.00
18.07;851.00
41.02;862.00
44.43;864.00
44.92;862.00
21.48;859.00
35.64;859.00
44.43;866.00
24.90;843.00
29.79;418.00
22.46;345.00
23.93;146.00
23.93;97.00
23.93;114.00
23.93;104.00
23.93;105.00
23.93;86.00
23.93;109.00
24.41;103.00
24.41;98.00
24.41;99.00
24.41;132.00
23.93;143.00
46.39;691.00
20.51;712.00
42.48;731.00
19.53;739.00
19.04;751.00
28.81;758.00
26.37;751.00
21.48;773.00
46.88;770.00
44.43;775.00
46.39;776.00
21.00;786.00
41.02;778.00
47.36;781.00
47.36;781.00
19.04;783.00
20.51;506.00
36.13;497.00
20.02;496.00
20.02;496.00
22.46;463.00
23.93;281.00
24.90;130.00
24.90;132.00
24.90;135.00
24.90;135.00
24.90;134.00
24.90;135.00
25.39;138.00
25.39;137.00
25.39;137.00
24.90;139.00
25.39;139.00
25.39;137.00
25.39;138.00
25.39;137.00
25.39;137.00
25.39;139.00
25.39;140.00
25.39;138.00
25.39;139.00
25.88;141.00
25.39;138.00
25.39;140.00
25.39;138.00
25.39;139.00
25.88;140.00
25.39;139.00
25.39;140.00
25.39;140.00
25.39;139.00
25.39;142.00
25.39;139.00
25.88;142.00
25.39;139.00
25.39;139.00
25.39;141.00
25.39;140.00
